sentence_id,sentence,position,token,word_class,case,mark,role,root,wazn,closed_class_kind
37,جِئْتُكَ كَيْ أَتَعَلَّمَ,1,كَيْ,HARF,مَبْنِي,,حرف نصب,,,HARF_NASB
37,جِئْتُكَ كَيْ أَتَعَلَّمَ,2,أَتَعَلَّمَ,FIIL,مَنْصُوب,فتحة,فعل مضارع,,,
38,إِذًا تُفْلِحَ,0,إِذًا,HARF,مَبْنِي,,حرف,,,HARF
38,إِذًا تُفْلِحَ,1,تُفْلِحَ,FIIL,مَرْفُوع,ضمة,فعل مضارع,فلح,تُفْعِل,
39,لَمْ يَكْتُبْ زَيْدٌ,0,لَمْ,HARF,مَبْنِي,,حرف جزم,,,HARF_JAZM
39,لَمْ يَكْتُبْ زَيْدٌ,1,يَكْتُبْ,FIIL,مَجْزُوم,سكون,فعل مضارع,كتب,يَفْعُلْ,
39,لَمْ يَكْتُبْ زَيْدٌ,2,زَيْدٌ,ISM_MUARAB,مَرْفُوع,ضمة,فاعل مرفوع,زيد,فَعْلٌ,
40,لَمَّا أَكْتُبْ,0,لَمَّا,HARF,مَبْنِي,,حرف جزم,,,HARF_JAZM
40,لَمَّا أَكْتُبْ,1,أَكْتُبْ,FIIL,مَجْزُوم,سكون,فعل مضارع,كتب,أَفْعُلْ,
41,لِيَنْصُرْ,0,لِيَنْصُرْ,FIIL,مَبْنِي,,فعل ماضٍ,نصر,يَفْعُلْ,
42,لَا تَضْرِبْ,0,لَا,HARF,مَبْنِي,,حرف جزم,,,HARF_JAZM
